Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BGAS_BKW;0;145;145;145;81;81.0;0;149.0;0.0;0.0;149.0;2
BGAS_BKW;1;145;145;145;8;8.0;102.19753086419753;3103.5802469135833;0.0;2270.0000000000027;833.5802469135804;2
BGAS_BKW;2;145;145;145;3;3.0;296.10493827160417;4779.907407407411;0.06403112540706456;3579.0000000000055;1200.9074074074051;2
BGAS_BKW;3;145;145;145;3;3.0;-327.9382716049404;3796.092592592586;2.064540949303074e-10;3579.000000000002;217.0925925925839;2
BGAS_BKW;4;145;145;145;0;0.0;327.9382716049428;4913.999999999989;0.0;4913.999999999989;0.0;2
