Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BBOS_BWIN_BTG;0;317;317;317;186;186.0;0;346.0;0.0;0.0;346.0;2
BBOS_BWIN_BTG;1;317;317;317;25;25.0;95.0498575687978;6552.246439219944;0.0035330741786226585;4125.999999999998;2426.246439219945;2
BBOS_BWIN_BTG;2;317;317;317;6;6.0;210.67122517426017;9955.326496458347;0.031131372860838124;8108.999999999998;1846.3264964583482;2
BBOS_BWIN_BTG;3;317;317;317;6;6.0;-256.5632475200503;8415.947004351763;0.03101255222184287;8108.999993013717;306.9470113380461;2
BBOS_BWIN_BTG;4;317;317;317;0;0.0;256.5632498488109;10209.999940445134;0.028599406674648224;10209.999940445134;0.0;2
