Model;comment;filename;date;time;timeout;gap in %;objective;fixed integer values ratio;solvable;relaxed;ratio;type;feasibility check;first_sol_time;first_sol_obj;first_sol_gap;plateau_time;plateau_time_obj;plateau_time_gap
BBUP_O; ;BBUP_O_subMBP_202403301130;2024-03-30 11:30;1825.6083023750107;False;8.35;14546.0;0.6470588235294118;True;False;0.6;slack;True;3.0;16133.0;17.5;415.0;14546.0;8.37
BBUP_W; ;BBUP_W_subMBP_202403301130;2024-03-30 11:30;1.3288374580006348;False;-;-;0.5254237288135594;False;False;0.9;other alternatives;False;-1;-1;-1;-1;-1;-1
BBUP_W; ;BBUP_W_subMBP_202403301130;2024-03-30 11:30;642.7260303749936;False;13.77;14933.0;0.5254237288135594;True;False;0.9;slack;True;23.0;15227.0;16.1;35.0;14933.0;14.4
BBUP_W; ;BBUP_W_subMBP_202403301130;2024-03-30 11:30;643.9353555409907;False;-;-;0.5254237288135594;False;False;0.6;other alternatives;False;-1;-1;-1;-1;-1;-1
BBUP_W; ;BBUP_W_subMBP_202403301130;2024-03-30 11:30;2078.710241624998;False;8.57;13983.0;0.5254237288135594;True;False;0.6;slack;True;16.0;15318.0;16.6;825.0;13983.0;8.59
BGB_BWES; ;BGB_BWES_subMBP_202403301130;2024-03-30 11:30;601.8891311250045;False;-;-;0.6265560165975104;False;False;0.9;other alternatives;False;-1;-1;-1;-1;-1;-1
BGB_BWES; ;BGB_BWES_subMBP_202403301130;2024-03-30 11:30;2410.452193707999;True;11.5;27699.0;0.6265560165975104;True;False;0.9;slack;True;259.0;33353.0;26.5;-1;-1;-1
BGB_BWES; ;BGB_BWES_subMBP_202403301130;2024-03-30 11:30;4225.397348333005;True;8.3;25771.0;0.6265560165975104;True;False;0.6;other alternatives;True;588.0;31913.0;25.9;1385.0;25771.0;8.3
BGB_BWES; ;BGB_BWES_subMBP_202403301130;2024-03-30 11:30;4830.024865750005;False;-;-;0.6265560165975104;False;False;0.6;slack;False;-1;-1;-1;-1;-1;-1
