Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BPKW_BKRW_BSNF_O;0;292;292;292;194;194.0;0;378.0;0.0;0.0;378.0;2
BPKW_BKRW_BSNF_O;1;292;292;292;19;19.0;83.59970366981771;6390.394369726518;0.0;4763.999999999981;1626.3943697265365;2
BPKW_BKRW_BSNF_O;2;292;292;292;6;5.999999110024089;220.71335644692638;9258.878335502503;0.0384847670754762;7421.0002474132825;1837.87808808922;2
BPKW_BKRW_BSNF_O;3;292;292;292;6;6.0;-257.2357313323288;7715.46420086843;0.034647265249976446;7420.999999228334;294.46420164009623;2
BPKW_BKRW_BSNF_O;4;292;292;292;6;6.0;257.2356850346293;9258.87830953959;0.03188767691083438;7420.999997691719;1837.8783118478718;2
BPKW_BKRW_BSNF_O;5;292;292;292;6;6.0;-128.617842261212;770.1007195433845;0.23825454551490055;7420.999996935505;-6650.89927739212;1.0
BPKW_BKRW_BSNF_O;6;292;292;292;0;0.0;1286.1784227381556;9771.000000000031;0.054959477562990064;9771.000000000031;0.0;1.0
