Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BBUP_W;0;590;590;590;455;455.0;0;897.0;0.0;0.0;897.0;2
BBUP_W;1;590;590;590;33;33.0;51.88300782290166;10322.139258155612;0.006348686997207303;8543.999999999858;1778.1392581557539;2
BBUP_W;2;590;590;590;14;14.0;144.1360619123949;12836.26697629395;0.08212149919391766;10063.999999999798;2772.266976294152;2
BBUP_W;3;590;590;590;14;14.0;-19.4118137976888;12539.501583126392;0.0716650123346682;10038.999999999884;2500.501583126509;2
BBUP_W;4;590;590;590;8;8.0;22.98324236910516;15256.383375981899;0.16313792502430216;11804.999999999782;3451.383375982117;2
BBUP_W;5;590;582;590;8;8.0;-638.9997740679428;11714.999999999822;0.030659265454903422;11714.999999999822;0.0;2
BBUP_W;6;590;590;590;0;0.0;246.34606992757654;15049.9999999999;0.1516279069767226;15049.9999999999;0.0;2
